player_id,player_display_name,season,position,position_group,week,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000007,Rabih Abdullah,2003,RB,RB,12,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.5,3.0833333,0.0,0.0,0.0,0.33333334,-0.39700386,0.0,0.67,0.75,4.5833335,0.0,0.0,0.0,0.0,0.0,0.25,-0.14951324,0.0,0.0,0.069770016,0.0,0.0,0.0,0.7666667,1.4333333
00-0000007,Rabih Abdullah,2004,RB,RB,6,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.17,2.1666667,0.17,0.0,0.0,0.5,-1.1314747,0.0,0.17,0.33,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.56605,0.0,0.0,0.031947263,0.0,0.0,0.0,1.3666667,1.5333333
00-0000100,Chidi Ahanotu,2004,DE,DL,1,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112251975,0.0,0.0,0.022727273,0.0,0.0,0.0,0.0,0.0
00-0000108,David Akers,2002,K,SPEC,1,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,10.0,0.0,0.0,0.0,1.0,2.6147509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,1.0,1.0
00-0000108,David Akers,2006,K,SPEC,1,PHI,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,-0.7023373,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.44,0.44
00-0000108,David Akers,2011,K,SPEC,1,SF,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,4.2231336,0.0,1.5555556,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,4.56,4.56
00-0000145,Derrick Alexander,2002,WR,WR,8,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.75,4.88,16.75,0.12,0.0,0.0,0.0,0.0,0.875,-1.6175914,0.0,0.0,0.12432642,0.0,0.0,0.0,2.425,4.175
00-0000166,Stephen Alexander,2002,TE,TE,14,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.21,5.43,36.42857,0.07,0.071428575,0.0,0.0,0.0,1.7857143,-0.62426496,0.0,0.0,0.1730482,0.0,0.0,0.0,4.0714283,7.285714
00-0000166,Stephen Alexander,2003,TE,TE,2,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.130348,0.5,0.0,0.116987176,0.0,0.0,0.0,1.0,1.0
00-0000166,Stephen Alexander,2004,TE,TE,16,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.56,4.75,23.5625,0.06,0.0,0.0,0.0,0.0,1.3125,-0.8161757,0.0,0.0,0.15274414,0.0,0.0,0.0,2.73125,5.29375
00-0000166,Stephen Alexander,2005,TE,TE,14,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.5,1.5,12.142858,0.07,0.0,0.0,0.0,0.0,0.64285713,0.88737357,0.0,0.0,0.0836897,0.0,0.0,0.0,1.6428572,3.142857
00-0000166,Stephen Alexander,2006,TE,TE,8,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.25,2.25,20.0,0.25,0.0,0.0,10.0,10.0,1.25,1.6677097,0.0,1.8260943,0.13765743,0.102867365,0.2784933,0.0,3.5,5.75
00-0000210,James Allen,2002,RB,RB,16,HOU,0.06,0.12,0.3125,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.60997915,0.0,0.0,,9.69,32.4375,0.0,0.0625,0.0625,1.25,-2.19091,0.0,2.94,3.56,18.875,0.0,0.0,0.0,0.0,0.0,0.6875,-0.5000523,0.06,0.0,0.13220285,0.0,0.0,0.0,5.3937497,8.33125
00-0000217,Larry Allen,2003,OT,OL,1,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.99565005,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0
00-0000242,John Allred,2002,TE,TE,1,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4977067,0.0,0.0,0.023255814,0.0,0.0,0.0,0.0,0.0
00-0000251,Mike Alstott,2002,FB,RB,19,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,10.0,34.105263,0.47,0.10526316,0.05263158,2.631579,-0.92600566,0.0,2.26,3.26,16.421053,0.11,0.10526316,0.05263158,0.0,0.0,0.7894737,-0.20309128,0.0,0.0,0.10186994,0.0,0.0,0.0,8.315789,10.578947
00-0000251,Mike Alstott,2003,FB,RB,4,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,6.75,19.25,0.5,0.0,0.0,2.5,-0.1597255,0.0,2.5,3.0,20.75,0.0,0.0,0.0,0.0,0.0,0.75,0.42619377,0.0,0.0,0.07496345,0.0,0.0,0.0,7.0,9.5
00-0000251,Mike Alstott,2004,FB,RB,14,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,4.79,16.428572,0.14,0.071428575,0.071428575,1.4285715,-0.7782608,0.0,2.07,2.93,14.428572,0.0,0.071428575,0.071428575,0.0,0.0,0.78571427,-0.41852373,0.0,0.0,0.09995145,0.0,0.0,0.0,3.6571429,5.7285714
00-0000251,Mike Alstott,2005,FB,RB,16,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.38,5.9375,0.38,0.0,0.0,0.8125,-0.0481835,0.06,1.62,1.62,14.3125,0.06,0.0,0.0,0.0,0.0,0.6875,0.9472488,0.0,0.0,0.081384264,0.0,0.0,0.0,4.775,6.4
00-0000251,Mike Alstott,2006,FB,RB,14,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,4.29,12.214286,0.21,0.071428575,0.071428575,1.2142857,-1.0182399,0.0,1.5,1.5,6.071429,0.0,0.0,0.0,-1.0714285,7.142857,0.42857143,0.0807462,0.0,0.17301586,0.10549978,-0.017131062,0.14625792,0.0,2.9714286,4.4714284
00-0000339,Richie Anderson,2002,FB,RB,18,NYJ,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3825306,0.0,,,0.44,2.2777777,0.0,0.0,0.0,0.055555556,0.025884792,0.0,2.72,3.33,19.055555,0.11,0.0,0.0,0.0,0.0,0.6666667,-0.22688174,0.0,0.0,0.107060164,0.0,0.0,0.0,2.8,5.522222
00-0000339,Richie Anderson,2003,FB,RB,16,DAL,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40788865,0.0,,,4.75,20.25,0.06,0.0625,0.0625,1.0625,-0.3816606,0.0,4.75,6.06,32.0625,0.25,0.0625,0.0,0.0,0.0,1.375,-0.48283866,0.0,0.0,0.19655168,0.0,0.0,0.0,6.98125,11.73125
00-0000339,Richie Anderson,2004,FB,RB,11,DAL,0.09,0.09,2.3636363,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909,3.5796635,0.0,0.0,,5.18,22.363636,0.09,0.09090909,0.09090909,1.0,-0.84396774,0.0,2.36,3.73,18.818182,0.0,0.0,0.0,0.0,0.0,0.54545456,-0.49581593,0.0,0.0,0.11626391,0.0,0.0,0.0,4.94,7.3036366
00-0000374,Joe Andruzzi,2003,G,OL,1,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.2739313,0.0,0.0,0.028571429,0.0,0.0,0.0,0.0,1.0
00-0000541,John Avery,2003,RB,RB,4,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.25,0.0,0.0,0.0,0.0,0.0,-0.5114566,0.0,0.5,1.0,6.0,0.25,0.0,0.0,0.0,0.0,0.5,0.7215666,0.0,0.0,0.046225686,0.0,0.0,0.0,2.1,2.6000001
00-0000552,Obafemi Ayanbadejo,2003,RB,RB,4,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.25,-0.5,0.0,0.0,0.0,0.0,-1.4559981,0.0,3.0,3.25,13.25,0.0,0.25,0.0,0.0,0.0,1.0,0.48535782,0.0,0.0,0.13347451,0.0,0.0,0.0,1.275,4.275
00-0000552,Obafemi Ayanbadejo,2004,RB,RB,14,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.14,8.714286,0.21,0.0,0.0,0.64285713,0.17434795,0.0,1.36,1.79,12.214286,0.07,0.071428575,0.0,0.0,0.0,0.64285713,0.5154893,0.0,0.0,0.061371125,0.0,0.0,0.0,3.8071427,5.1642857
00-0000552,Obafemi Ayanbadejo,2005,RB,RB,13,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.69,3.5384614,0.0,0.0,0.0,0.30769232,-1.0136075,0.15,2.62,2.62,17.76923,0.0,0.07692308,0.07692308,0.0,0.0,0.9230769,0.27657253,0.0,0.0,0.09978073,0.0,0.0,0.0,2.2846153,4.9
00-0000552,Obafemi Ayanbadejo,2006,RB,RB,10,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.9,3.7,0.0,0.0,0.0,0.5,0.6187735,0.0,1.7,1.7,13.9,0.0,0.1,0.0,1.9,12.0,0.7,0.8269755,0.0,2.4351852,0.09499883,0.014373497,0.1525597,0.0,1.76,3.46
00-0000559,Jerry Azumah,2003,CB,DB,2,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,1.0,6.0,6.0
00-0000585,Champ Bailey,2002,CB,DB,1,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,4.0,0.0,1.0,1.0,0.0,-3.9446561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,-1.6,-1.6
00-0000585,Champ Bailey,2004,CB,DB,3,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.33,1.33,3.6666667,0.0,0.0,0.0,0.0,0.0,0.0,-1.0399266,0.0,0.0,0.04495754,0.0,0.0,0.0,0.36666667,0.7
00-0000598,Karsten Bailey,2002,WR,WR,3,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.33,3.0,12.333333,0.0,0.0,0.0,0.0,0.0,0.6666667,-2.1639242,0.0,0.0,0.07633612,0.0,0.0,0.0,1.2333333,2.5666666
00-0000598,Karsten Bailey,2003,WR,WR,1,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.8919683,0.0,0.0,0.048780486,0.0,0.0,0.0,0.0,0.0
