player_id,player_display_name,position,recent_team,season,week,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,racr,target_share,air_yards_share,wopr,fantasy_points,fantasy_points_ppr
00-0000007,Rabih Abdullah,RB,CHI,2003,12,0.67,0.75,4.5833335,0.0,0.0,0.0,0.25,0.0,0.069770016,0.0,0.0,0.7666667,1.4333333
00-0000007,Rabih Abdullah,RB,NE,2004,6,0.17,0.33,1.5,0.0,0.0,0.0,0.0,0.0,0.031947263,0.0,0.0,1.3666667,1.5333333
00-0000145,Derrick Alexander,WR,MIN,2002,8,1.75,4.88,16.75,0.12,0.0,0.0,0.875,0.0,0.12432642,0.0,0.0,2.425,4.175
00-0000166,Stephen Alexander,TE,LAC,2002,14,3.21,5.43,36.42857,0.07,0.0,0.0,1.7857143,0.0,0.1730482,0.0,0.0,4.0714283,7.285714
00-0000166,Stephen Alexander,TE,LAC,2003,2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116987176,0.0,0.0,1.0,1.0
00-0000166,Stephen Alexander,TE,DET,2004,16,2.56,4.75,23.5625,0.06,0.0,0.0,1.3125,0.0,0.15274414,0.0,0.0,2.73125,5.29375
00-0000166,Stephen Alexander,TE,DEN,2005,14,1.5,1.5,12.142858,0.07,0.0,0.0,0.64285713,0.0,0.0836897,0.0,0.0,1.6428572,3.142857
00-0000166,Stephen Alexander,TE,DEN,2006,8,2.25,2.25,20.0,0.25,10.0,10.0,1.25,1.8260943,0.13765743,0.102867365,0.2784933,3.5,5.75
00-0000210,James Allen,RB,HOU,2002,16,2.94,3.56,18.875,0.0,0.0,0.0,0.6875,0.0,0.13220285,0.0,0.0,5.3937497,8.33125
00-0000242,John Allred,TE,PIT,2002,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255814,0.0,0.0,0.0,0.0
00-0000541,John Avery,RB,MIN,2003,4,0.5,1.0,6.0,0.25,0.0,0.0,0.5,0.0,0.046225686,0.0,0.0,2.1,2.6000001
00-0000552,Obafemi Ayanbadejo,RB,MIA,2003,4,3.0,3.25,13.25,0.0,0.0,0.0,1.0,0.0,0.13347451,0.0,0.0,1.275,4.275
00-0000552,Obafemi Ayanbadejo,RB,ARI,2004,14,1.36,1.79,12.214286,0.07,0.0,0.0,0.64285713,0.0,0.061371125,0.0,0.0,3.8071427,5.1642857
00-0000552,Obafemi Ayanbadejo,RB,ARI,2005,13,2.62,2.62,17.76923,0.0,0.0,0.0,0.9230769,0.0,0.09978073,0.0,0.0,2.2846153,4.9
00-0000552,Obafemi Ayanbadejo,RB,ARI,2006,10,1.7,1.7,13.9,0.0,1.9,12.0,0.7,2.4351852,0.09499883,0.014373497,0.1525597,1.76,3.46
00-0000598,Karsten Bailey,WR,GB,2002,3,1.33,3.0,12.333333,0.0,0.0,0.0,0.6666667,0.0,0.07633612,0.0,0.0,1.2333333,2.5666666
00-0000598,Karsten Bailey,WR,GB,2003,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048780486,0.0,0.0,0.0,0.0
00-0000745,Tiki Barber,RB,NYG,2002,17,4.35,5.88,38.764706,0.0,0.0,0.0,1.4705882,0.0,0.17278722,0.0,0.0,16.241177,20.594118
00-0000745,Tiki Barber,RB,NYG,2003,16,4.31,6.12,28.8125,0.06,0.0,0.0,1.625,0.0,0.16479266,0.0,0.0,10.98125,15.29375
00-0000745,Tiki Barber,RB,NYG,2004,16,3.25,4.94,36.125,0.12,0.0,0.0,1.125,0.0,0.17998125,0.0,0.0,18.475,21.725
00-0000745,Tiki Barber,RB,NYG,2005,17,3.35,3.59,32.82353,0.12,0.0,0.0,1.1764706,0.0,0.18333535,0.0,0.0,18.34706,21.7
00-0000745,Tiki Barber,RB,NYG,2006,17,3.53,3.82,28.235294,0.0,0.7058824,27.82353,1.3529412,4.495578,0.20072445,-0.015177302,0.29046255,15.052941,18.582354
00-0000765,Reggie Barlow,WR,TB,2002,2,1.5,2.5,11.5,0.0,0.0,0.0,1.0,0.0,0.07862903,0.0,0.0,1.15,2.65
00-0000765,Reggie Barlow,WR,TB,2003,4,0.75,1.5,6.75,0.25,0.0,0.0,0.25,0.0,0.04008067,0.0,0.0,1.6750001,2.425
00-0000869,D'Wayne Bates,WR,MIN,2002,14,3.57,5.71,49.214287,0.29,0.0,0.0,2.4285715,0.0,0.1729768,0.0,0.0,6.635714,10.207143
