division_matchup,team_home_favorite,schedule_week_1,schedule_sunday,schedule_month,team_home_elo_pre,team_away_elo_pre,score_avg_pts_for_roll.home,score_avg_pts_against_roll.home,score_avg_pts_for_roll.away,score_avg_pts_against_roll.away,weather_cold,weather_wind_bad,weather_rain,weather_snow,weather_fog,team_offense_type.home_strong,team_offense_type.home_weak,team_defense_type.home_strong,team_defense_type.home_weak,team_offense_type.away_strong,team_offense_type.away_weak,team_defense_type.away_strong,team_defense_type.away_weak
False,True,False,True,9,928.0646937895297,1033.313465888192,25.0,19.5,28.0,34.5,False,False,False,False,False,True,False,False,False,True,False,False,True
True,True,False,True,10,928.0646937895297,1076.5538265063985,27.333333333333332,18.833333333333332,23.333333333333332,24.166666666666668,False,False,False,False,False,True,False,False,False,False,False,False,True
False,True,False,True,10,928.0646937895297,946.4051184618754,31.166666666666668,16.833333333333332,10.0,30.333333333333332,False,False,False,False,False,True,False,True,False,False,True,False,True
False,True,False,False,10,928.0646937895297,1068.7992637049115,29.0,15.333333333333334,25.666666666666668,18.666666666666668,False,False,False,False,False,True,False,True,False,True,False,False,False
True,True,False,True,11,928.0646937895297,888.3340018894845,24.5,17.333333333333332,18.0,21.166666666666668,False,False,False,False,False,True,False,True,False,False,False,False,False
True,True,False,False,12,928.0646937895297,1020.720023407636,23.5,23.333333333333332,26.5,24.5,False,False,False,False,False,False,False,False,False,True,False,False,True
False,True,False,False,12,928.0646937895297,974.0195567854328,19.5,25.166666666666668,29.166666666666668,17.166666666666668,False,False,False,False,False,False,False,False,True,True,False,True,False
True,True,False,True,1,928.0646937895297,1050.066045486323,23.166666666666668,27.333333333333332,31.0,23.333333333333332,False,False,False,False,False,False,False,False,True,True,False,False,False
False,False,False,True,9,928.0646937895297,1177.08966053594,19.166666666666668,31.666666666666668,35.166666666666664,27.166666666666668,False,False,False,False,False,False,False,False,True,True,False,False,True
True,False,False,True,9,928.0646937895297,1020.720023407636,21.333333333333332,30.166666666666668,22.333333333333332,22.333333333333332,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,True,10,928.0646937895297,1056.1827456266903,19.333333333333332,26.166666666666668,25.0,19.833333333333332,False,False,False,False,False,False,False,False,True,True,False,False,False
True,True,False,False,10,928.0646937895297,1053.9666878730643,22.5,22.0,24.666666666666668,29.0,False,False,False,False,False,False,False,False,False,True,False,False,True
True,True,False,True,11,928.0646937895297,1050.066045486323,23.5,25.666666666666668,32.333333333333336,25.0,False,False,False,False,False,False,False,False,True,True,False,False,True
True,False,False,False,11,928.0646937895297,1076.5538265063985,22.5,28.833333333333332,27.5,21.166666666666668,False,False,False,False,False,False,False,False,True,True,False,False,False
False,False,False,True,11,928.0646937895297,979.7382961995212,25.0,29.833333333333332,21.666666666666668,24.333333333333332,False,False,False,False,False,True,False,False,True,False,False,False,True
False,False,False,False,12,928.0646937895297,1036.365276301752,20.166666666666668,28.666666666666668,20.166666666666668,15.5,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,True,12,928.0646937895297,1025.007351001097,17.5,25.0,17.333333333333332,23.333333333333332,False,False,False,False,False,False,True,False,True,False,True,False,False
False,False,False,True,9,928.0646937895297,916.5085964025061,17.833333333333332,25.333333333333332,20.5,27.0,False,False,False,False,False,False,True,False,True,False,False,False,True
False,False,False,True,9,928.0646937895297,1065.4695872311397,20.0,24.0,22.5,16.166666666666668,False,False,False,False,False,False,False,False,False,False,False,True,False
